uni,major,depart,course,eng_name,fee,round1,round2,round3,round4,lat,lon
สถาบันการจัดการปัญญาภิวัฒน์,คณะวิศวกรรมศาสตร์และเทคโนโลยี,วิศวกรรมปัญญาประดิษฐ์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์ (ภาษาไทย ปกติ) วิทยาเขต แจ้งวัฒนะ นนทบุรี,Bachelor of Engineering Program in Computer Engineering and Artificial Intelligence,384000,30,0,30,0,13.8879,100.5114
สถาบันการจัดการปัญญาภิวัฒน์,คณะวิศวกรรมศาสตร์และเทคโนโลยี,วิศวกรรมอุตสาหการ,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมอุตสาหการและการผลิตอัจฉริยะ (ภาษาไทย ปกติ) วิทยาเขต อีอีซี,Bachelor of Engineering Program in Industrial Engineering and Intelligent Manufacturing,432000,20,20,20,0,13.8879,100.5114
สถาบันการจัดการปัญญาภิวัฒน์,คณะวิศวกรรมศาสตร์และเทคโนโลยี,วิศวกรรมอุตสาหการ,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมอุตสาหการและการผลิตอัจฉริยะ (ภาษาไทย ปกติ) วิทยาเขต แจ้งวัฒนะ นนทบุรี,Bachelor of Engineering Program in Industrial Engineering and Intelligent Manufacturing,432000,20,20,20,0,13.8879,100.5114
สถาบันการจัดการปัญญาภิวัฒน์,คณะวิศวกรรมศาสตร์และเทคโนโลยี,วิศวกรรมยานยนต์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมการผลิตยานยนต์ (ภาษาไทย ปกติ) วิทยาเขต แจ้งวัฒนะ นนทบุรี,Bachelor of Engineering Program in Automotive Manufacturing Engineering,384000,20,0,20,0,13.8879,100.5114
สถาบันการจัดการปัญญาภิวัฒน์,คณะวิศวกรรมศาสตร์และเทคโนโลยี,วิศวกรรมเมคคาทรอนิกส์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมหุ่นยนต์และระบบอัตโนมัติ (ภาษาไทย ปกติ) วิทยาเขต แจ้งวัฒนะ นนทบุรี,Bachelor of Engineering Program in Robotics and Automation Engineering,502500,10,0,10,0,13.8879,100.5114
สถาบันการจัดการปัญญาภิวัฒน์,คณะวิศวกรรมศาสตร์และเทคโนโลยี,เทคโนโลยีสารสนเทศ,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาเทคโนโลยีดิจิทัลและสารสนเทศ (ภาษาไทย ปกติ) วิทยาเขต อีอีซี,Bachelor of Science Program in Digital and Information Technology,360000,30,0,30,0,13.8879,100.5114
สถาบันการจัดการปัญญาภิวัฒน์,คณะวิศวกรรมศาสตร์และเทคโนโลยี,เทคโนโลยีสารสนเทศ,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาเทคโนโลยีดิจิทัลและสารสนเทศ (ภาษาไทย ปกติ) วิทยาเขต แจ้งวัฒนะ นนทบุรี,Bachelor of Science Program in Digital and Information Technology,360000,30,0,30,0,13.8879,100.5114
มหาวิทยาลัยหอการค้าไทย,คณะวิศวกรรมศาสตร์,วิศวกรรมโลจิสติกส์,หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมโลจิสติกส์) (ภาษาไทย ปกติ),B.Eng. (Logistics Engineering),340000,0,0,60,0,13.7671,100.5516
มหาวิทยาลัยหอการค้าไทย,คณะวิศวกรรมศาสตร์,วิศวกรรมไฟฟ้า,หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมไฟฟ้าและพลังงาน) (ภาษาไทย ปกติ),B.Eng. (Electrical and Energy Engineering),340000,0,0,60,0,13.7671,100.5516
มหาวิทยาลัยหอการค้าไทย,คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์) (ภาษาไทย ปกติ),B.Eng. (Computer Engineering and Artificial Intelligence),340000,0,0,60,0,13.7671,100.5516
